node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Side/Roof Weld #4,4,3,16882.100,16886.100,4.000,process,1208,
Side/Roof Weld #4,4,3,16886.100,16894.100,8.000,wait,1208,
Side/Roof Weld #4,4,3,16894.100,16896.100,2.000,down,1208,
Side/Roof Weld #4,4,3,16896.100,16901.100,5.000,process,1209,
Side/Roof Weld #4,4,3,16901.100,16907.100,6.000,wait,1209,
Side/Roof Weld #4,4,3,16907.100,16910.100,3.000,down,1209,
Side/Roof Weld #4,4,3,16910.100,16914.100,4.000,process,1210,
Side/Roof Weld #4,4,3,16914.100,16922.100,8.000,wait,1210,
Side/Roof Weld #4,4,3,16922.100,16924.100,2.000,down,1210,
Side/Roof Weld #4,4,3,16924.100,16929.100,5.000,process,1211,
Side/Roof Weld #4,4,3,16929.100,16935.100,6.000,wait,1211,
Side/Roof Weld #4,4,3,16935.100,16938.100,3.000,down,1211,
Side/Roof Weld #4,4,3,16938.100,16942.100,4.000,process,1212,
Side/Roof Weld #4,4,3,16942.100,16950.100,8.000,wait,1212,
Side/Roof Weld #4,4,3,16950.100,16952.100,2.000,down,1212,
Side/Roof Weld #4,4,3,16952.100,16957.100,5.000,process,1213,
Side/Roof Weld #4,4,3,16957.100,16963.100,6.000,wait,1213,
Side/Roof Weld #4,4,3,16963.100,16966.100,3.000,down,1213,
Side/Roof Weld #4,4,3,16966.100,16970.100,4.000,process,1214,
Side/Roof Weld #4,4,3,16970.100,16978.100,8.000,wait,1214,
Side/Roof Weld #4,4,3,16978.100,16980.100,2.000,down,1214,
Side/Roof Weld #4,4,3,16980.100,16985.100,5.000,process,1215,
Side/Roof Weld #4,4,3,16985.100,16991.100,6.000,wait,1215,
Side/Roof Weld #4,4,3,16991.100,16994.100,3.000,down,1215,
Side/Roof Weld #4,4,3,16994.100,16998.100,4.000,process,1216,
Side/Roof Weld #4,4,3,16998.100,17006.100,8.000,wait,1216,
Side/Roof Weld #4,4,3,17006.100,17008.100,2.000,down,1216,
Side/Roof Weld #4,4,3,17008.100,17013.100,5.000,process,1217,
Side/Roof Weld #4,4,3,17013.100,17019.100,6.000,wait,1217,
Side/Roof Weld #4,4,3,17019.100,17022.100,3.000,down,1217,
Side/Roof Weld #4,4,3,17022.100,17026.100,4.000,process,1218,
Side/Roof Weld #4,4,3,17026.100,17034.100,8.000,wait,1218,
Side/Roof Weld #4,4,3,17034.100,17036.100,2.000,down,1218,
Side/Roof Weld #4,4,3,17036.100,17041.100,5.000,process,1219,
Side/Roof Weld #4,4,3,17041.100,17047.100,6.000,wait,1219,
Side/Roof Weld #4,4,3,17047.100,17050.100,3.000,down,1219,
Side/Roof Weld #4,4,3,17050.100,17054.100,4.000,process,1220,
Side/Roof Weld #4,4,3,17054.100,17062.100,8.000,wait,1220,
Side/Roof Weld #4,4,3,17062.100,17064.100,2.000,down,1220,
Side/Roof Weld #4,4,3,17064.100,17069.100,5.000,process,1221,
Side/Roof Weld #4,4,3,17069.100,17075.100,6.000,wait,1221,
Side/Roof Weld #4,4,3,17075.100,17078.100,3.000,down,1221,
Side/Roof Weld #4,4,3,17078.100,17082.100,4.000,process,1222,
Side/Roof Weld #4,4,3,17082.100,17090.100,8.000,wait,1222,
Side/Roof Weld #4,4,3,17090.100,17092.100,2.000,down,1222,
Side/Roof Weld #4,4,3,17092.100,17097.100,5.000,process,1223,
Side/Roof Weld #4,4,3,17097.100,17103.100,6.000,wait,1223,
Side/Roof Weld #4,4,3,17103.100,17106.100,3.000,down,1223,
Side/Roof Weld #4,4,3,17106.100,17110.100,4.000,process,1224,
Side/Roof Weld #4,4,3,17110.100,17118.100,8.000,wait,1224,
Side/Roof Weld #4,4,3,17118.100,17120.100,2.000,down,1224,
Side/Roof Weld #4,4,3,17120.100,17125.100,5.000,process,1225,
Side/Roof Weld #4,4,3,17125.100,17131.100,6.000,wait,1225,
Side/Roof Weld #4,4,3,17131.100,17134.100,3.000,down,1225,
Side/Roof Weld #4,4,3,17134.100,17138.100,4.000,process,1226,
Side/Roof Weld #4,4,3,17138.100,17146.100,8.000,wait,1226,
Side/Roof Weld #4,4,3,17146.100,17148.100,2.000,down,1226,
Side/Roof Weld #4,4,3,17148.100,17153.100,5.000,process,1227,
Side/Roof Weld #4,4,3,17153.100,17159.100,6.000,wait,1227,
Side/Roof Weld #4,4,3,17159.100,17162.100,3.000,down,1227,
Side/Roof Weld #4,4,3,17162.100,17166.100,4.000,process,1228,
Side/Roof Weld #4,4,3,17166.100,17174.100,8.000,wait,1228,
Side/Roof Weld #4,4,3,17174.100,17176.100,2.000,down,1228,
Side/Roof Weld #4,4,3,17176.100,17181.100,5.000,process,1229,
Side/Roof Weld #4,4,3,17181.100,17187.100,6.000,wait,1229,
Side/Roof Weld #4,4,3,17187.100,17190.100,3.000,down,1229,
Side/Roof Weld #4,4,3,17190.100,17194.100,4.000,process,1230,
Side/Roof Weld #4,4,3,17194.100,17202.100,8.000,wait,1230,
Side/Roof Weld #4,4,3,17202.100,17204.100,2.000,down,1230,
Side/Roof Weld #4,4,3,17204.100,17209.100,5.000,process,1231,
Side/Roof Weld #4,4,3,17209.100,17215.100,6.000,wait,1231,
Side/Roof Weld #4,4,3,17215.100,17218.100,3.000,down,1231,
Side/Roof Weld #4,4,3,17218.100,17222.100,4.000,process,1232,
Side/Roof Weld #4,4,3,17222.100,17230.100,8.000,wait,1232,
Side/Roof Weld #4,4,3,17230.100,17232.100,2.000,down,1232,
Side/Roof Weld #4,4,3,17232.100,17237.100,5.000,process,1233,
Side/Roof Weld #4,4,3,17237.100,17243.100,6.000,wait,1233,
Side/Roof Weld #4,4,3,17243.100,17246.100,3.000,down,1233,
Side/Roof Weld #4,4,3,17246.100,17250.100,4.000,process,1234,
Side/Roof Weld #4,4,3,17250.100,17258.100,8.000,wait,1234,
Side/Roof Weld #4,4,3,17258.100,17260.100,2.000,down,1234,
Side/Roof Weld #4,4,3,17260.100,17265.100,5.000,process,1235,
Side/Roof Weld #4,4,3,17265.100,17271.100,6.000,wait,1235,
Side/Roof Weld #4,4,3,17271.100,17274.100,3.000,down,1235,
Side/Roof Weld #4,4,3,17274.100,17278.100,4.000,process,1236,
Side/Roof Weld #4,4,3,17278.100,17286.100,8.000,wait,1236,
Side/Roof Weld #4,4,3,17286.100,17288.100,2.000,down,1236,
Side/Roof Weld #4,4,3,17288.100,17293.100,5.000,process,1237,
Side/Roof Weld #4,4,3,17293.100,17299.100,6.000,wait,1237,
Side/Roof Weld #4,4,3,17299.100,17302.100,3.000,down,1237,
Side/Roof Weld #4,4,3,17302.100,17306.100,4.000,process,1238,
Side/Roof Weld #4,4,3,17306.100,17314.100,8.000,wait,1238,
Side/Roof Weld #4,4,3,17314.100,17316.100,2.000,down,1238,
Side/Roof Weld #4,4,3,17316.100,17321.100,5.000,process,1239,
Side/Roof Weld #4,4,3,17321.100,17327.100,6.000,wait,1239,
Side/Roof Weld #4,4,3,17327.100,17330.100,3.000,down,1239,
Side/Roof Weld #4,4,3,17330.100,17334.100,4.000,process,1240,
Side/Roof Weld #4,4,3,17334.100,17342.100,8.000,wait,1240,
